id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22787,"Sunny suite w/ queen size bed, inside boutique B&B",87973,Diego,,Cuauhtémoc,19.44076,-99.16324,Private room,2003,1,57,2019-05-27,0.51,8,325
35797,Villa Dante,153786,Dici,,Cuajimalpa de Morelos,19.38399,-99.27335,Entire home/apt,3889,1,0,,,2,363
44616,CONDESA HAUS  B&B,196253,Condesa Haus Bed & Breakfast  CDMX,,Cuauhtémoc,19.41006,-99.17645,Private room,1906,1,41,2019-09-03,0.43,10,354
58955,Entire beautiful duplex in la Roma,282620,Nat,,Cuauhtémoc,19.42292,-99.15775,Entire home/apt,1653,3,39,2019-05-28,0.41,1,170
67703,"2 bedroom apt. deco bldg, Condesa",334451,Nicholas,,Cuauhtémoc,19.41375,-99.17028,Entire home/apt,1847,4,39,2019-02-24,0.41,3,265
70644,Beautiful light Studio Coyoacan- full equipped !,212109,Trisha,,Coyoacán,19.35601,-99.16167,Entire home/apt,1070,3,94,2019-09-02,1.01,3,290
75615,Villa Dante,153786,Dici,,Cuajimalpa de Morelos,19.36585,-99.27911,Private room,3889,1,0,,,2,88
98378,Spacious; centric; peaceful family environment,519159,Jorge & Monnah,,Miguel Hidalgo,19.40236,-99.18163,Entire home/apt,4648,3,148,2019-09-16,1.56,13,209
99972,Dreamy suite w/ king size bed in boutique B&B,87973,Diego,,Cuauhtémoc,19.44268,-99.16371,Private room,2800,1,0,,,8,0
107078,NEW  DESIGNER LOFT,540705,Andrea,,Miguel Hidalgo,19.4313,-99.19438,Entire home/apt,4181,4,9,2019-07-02,0.22,2,323
131610,MARIA DEL ALMA,647454,Fernando,,Coyoacán,19.35266,-99.16338,Private room,1595,1,0,,,3,52
165772,BEST 4BR 4 BH HOUSE IN S. MIGUEL CHAPULTEPEC,790208,Francisco Carlos Y Maria Jose,,Miguel Hidalgo,19.40675,-99.18798,Entire home/apt,1070,2,261,2019-08-28,2.63,4,256
171109,Cool room near WTC and Metrobus,816295,Carlos,,Benito Juárez,19.39549,-99.17616,Private room,292,4,61,2019-09-15,0.91,2,351
175504,"Casa Comtesse B&B, Gallery Hotel, 7 rooms",838896,Thomas Pierre,,Cuauhtémoc,19.40631,-99.17303,Private room,1420,1,51,2019-02-24,0.56,6,59
180808,"Huge Luxurious Suite 70's style, perfectly located",36836,Roberto,,Cuauhtémoc,19.42428,-99.16843,Entire home/apt,1050,3,34,2019-06-15,0.38,1,323
187030,Colorful and spacious Apt. Family favorite,899360,Julian,,Cuauhtémoc,19.41033,-99.17647,Entire home/apt,1128,3,95,2019-09-15,0.99,6,8
187745,Extraordinarily Spacious Apt. in Condesa,899360,Julian,,Cuauhtémoc,19.41086,-99.17704,Entire home/apt,1108,2,24,2018-01-03,0.34,6,0
194937,Sunny and fresh Retro style Apartment,899360,Julian,,Cuauhtémoc,19.41113,-99.17762,Entire home/apt,1167,3,58,2019-08-31,0.61,6,224
198778,Smack in the Middle of La Condesa,970609,Morgana & Omar,,Cuauhtémoc,19.41395,-99.17948,Entire home/apt,933,2,161,2019-06-17,1.65,2,278
204887,"Condesa-Roma, great place to stay!",998053,MaryJo,,Miguel Hidalgo,19.40409,-99.17731,Entire home/apt,797,3,23,2019-05-30,0.26,1,316
217685,"Condesa, one of the best zones.",184410,Veronica,,Cuauhtémoc,19.40454,-99.1715,Entire home/apt,972,6,3,2019-08-19,0.05,1,293
245507,TRENDY APARTMENT IN ZONA ROSA!! SUPER LOCATION!!,1288063,Rodolfo & Francisco,,Cuauhtémoc,19.4251,-99.17067,Entire home/apt,1847,1,253,2019-08-10,2.62,16,365
246057,HIP APARTMENT IN ZONA ROSA!! SUPER LOCATION!!,1288063,Rodolfo & Francisco,,Cuauhtémoc,19.42373,-99.1714,Entire home/apt,1458,1,235,2019-09-02,2.44,16,358
247543,"Independent studio, top location",1297488,Petra,,Cuauhtémoc,19.43417,-99.13744,Private room,583,3,79,2019-02-25,0.83,7,320
252618,"""Chavela"" Private & Furnished Room",1326107,Jacqueline,,Cuauhtémoc,19.41328,-99.15513,Private room,311,5,16,2017-09-30,0.17,3,0
256555,GREAT HOUSE IN S MIGUEL CHAPULTEPEC,790208,Francisco Carlos Y Maria Jose,,Miguel Hidalgo,19.40631,-99.18691,Entire home/apt,1070,2,242,2019-09-02,2.55,4,256
261897,Charming 1BR flat in Roma/Condesa,1373924,Eric,,Cuauhtémoc,19.41835,-99.17363,Entire home/apt,1206,1,333,2019-09-08,3.54,1,57
271048,Great location in Mexico City!,1417206,Ma. Carmen,,Miguel Hidalgo,19.42686,-99.17838,Entire home/apt,1711,5,13,2018-02-01,0.14,1,207
276504,High End Condo with golf package,1444589,Michael,,Iztacalco,19.38258,-99.12736,Entire home/apt,1945,7,0,,,1,365
281134,COOL PENT HOUSE APARTMENT @CONDESA,196253,Condesa Haus Bed & Breakfast  CDMX,,Cuauhtémoc,19.41125,-99.17634,Hotel room,2742,1,6,2019-04-07,0.10,10,329
287940,Furnished lovely cozy studio,1497087,Penelope,,Cuauhtémoc,19.41247,-99.17485,Entire home/apt,972,1,269,2019-09-04,3.61,10,300
291804,A nice room with great location,1511568,Luis Ernesto,,Benito Juárez,19.36294,-99.15415,Private room,583,2,0,,,1,365
298873,"The ""home"" feeling in Mexico City!",1539548,Paulina,,Cuauhtémoc,19.43327,-99.14527,Entire home/apt,1847,3,119,2019-07-09,1.31,1,146
323030,Comfy in the Middle of La Condesa,970609,Morgana & Omar,,Cuauhtémoc,19.4157,-99.17747,Entire home/apt,933,2,176,2019-07-20,1.93,2,272
324769,2Room new apartment in modern complex,1661848,David,,Miguel Hidalgo,19.45809,-99.19258,Entire home/apt,681,2,35,2019-07-28,0.46,1,327
325812,"Confortable private room, downtown Mexico City.",1666388,Angeles (Anjali),,Cuauhtémoc,19.43453,-99.14675,Private room,661,3,103,2019-08-25,1.51,1,362
326296,WONDERFUL ROOM IN COYOACAN HOUSE,1664327,Edoardo,,Coyoacán,19.34004,-99.18273,Private room,389,2,167,2019-09-19,2.09,2,292
326475,Contemporary chic @ Roma Norte- Top location,1670032,Isabel,,Cuauhtémoc,19.41297,-99.15735,Entire home/apt,797,7,79,2019-09-23,1.47,2,31
326865,"Tlalpan, Zona de Hospitales",1671446,Eugenia,,Tlalpan,19.28581,-99.16064,Private room,253,3,28,2019-04-30,0.52,4,330
326885,2 rooms in shared area.,1671446,Eugenia,,Tlalpan,19.28712,-99.16213,Private room,253,3,19,2019-06-08,0.24,4,346
329532,Stay at a meditation center,1681966,Ra Fa El -- Nahui Cuauhtli,,Cuauhtémoc,19.41007,-99.13434,Private room,389,22,0,,,3,358
329776,Habitación Verde.,1683373,Miguel,,Tlalpan,19.27428,-99.1781,Private room,389,2,15,2019-05-31,0.58,5,351
331788,"CONDESA COZY, COMFORTABLE APARTMENT",1691633,Sandro & Ines,,Cuauhtémoc,19.41942,-99.17373,Entire home/apt,1497,3,313,2019-09-09,3.41,1,303
341479,"modern,styled appt!",1732353,Karen,,Benito Juárez,19.37923,-99.18833,Entire home/apt,525,1,0,,,1,0
344439,habitación con baño Mexico city ,1747101,Gaby,,Venustiano Carranza,19.4346,-99.10929,Private room,1264,1,0,,,1,365
347754,Great Place to stay,1762542,Rosario,,Coyoacán,19.35179,-99.14956,Private room,778,1,0,,,1,365
350079,beautiful furnished room Rome area,1773936,Elizabeth,,Cuauhtémoc,19.40421,-99.16553,Private room,1070,5,0,,,1,365
357324,Recámara luminosa y jardín,1808252,Sara,,Miguel Hidalgo,19.40215,-99.24135,Private room,1945,1,0,,,1,365
362583,Modern 2 Bedroom Apt. Near Reforma,1832239,Maria  & Jennifer,,Cuauhtémoc,19.42947,-99.17083,Entire home/apt,1536,2,17,2018-10-14,0.21,1,49
370092,Condesa Roma WTC Studio Parking,618769,Ricardo,,Cuauhtémoc,19.40179,-99.17009,Entire home/apt,642,1,271,2019-09-12,2.98,3,341
375032,DISTRITO CONDESA B&B  relax enjoy,1886913,Distrito Condesa,,Cuauhtémoc,19.40746,-99.17482,Private room,1342,1,43,2019-04-28,0.48,10,353
382712,SALUDOS MI NOMBRE ES FERNANDO,1918084,Fernando,,Azcapotzalco,19.45803,-99.17289,Private room,700,1,0,,,1,365
382904,Cute Sofa Bed in South Mexico City,1915348,Lucrecia,,Benito Juárez,19.36905,-99.18303,Shared room,972,1,0,,,1,365
386265,"Room in colonial, green, enjoyable COYOACAN",1933252,Esther,,Coyoacán,19.34303,-99.15425,Private room,253,3,8,2019-03-26,0.12,2,288
394589,"1 BDR ap in Ciudad de México "" STUDIO YEE "" - 1",931849,Carlos,,Cuauhtémoc,19.42499,-99.17479,Private room,331,1,21,2019-09-15,0.57,3,310
395446,Colorfull  Mid-Century inspired apartment.,899360,Julian,,Cuauhtémoc,19.40974,-99.17811,Entire home/apt,2003,3,12,2016-10-20,0.14,6,323
397408,wonderfully located apartment,1964369,Ana,,Miguel Hidalgo,19.43858,-99.21286,Entire home/apt,933,2,149,2019-09-09,1.67,1,338
400047,Incredible apartment in Condesa,1905087,Constanza,,Cuauhtémoc,19.41489,-99.169,Entire home/apt,1458,1,8,2019-02-26,0.16,3,0
400048,Wonderful stay in la Condesa Mexico,1905087,Constanza,,Cuauhtémoc,19.4058,-99.1756,Private room,972,1,0,,,3,365
419110,Comfy clean Roøm @Cozy apartment,2084312,Sara,,Cuauhtémoc,19.41238,-99.17722,Private room,544,3,52,2019-06-02,1.34,1,59
421607,Your Mexican home,1222626,Eder,,Benito Juárez,19.40314,-99.15164,Private room,311,5,16,2015-06-03,0.19,5,365
422159,"Nice Studio, 50 mts of terrace.",2099653,Antonio,,Benito Juárez,19.38942,-99.1358,Private room,408,3,7,2019-05-09,0.34,5,346
433876,Cómoda Habitación Privada en un Acogedor Hogar,2142017,Itzel & Maribel,,Iztapalapa,19.35654,-99.0803,Private room,272,2,37,2019-08-30,0.42,1,364
454077,Explore the City's Historic Center,2256144,Fernanda,,Cuauhtémoc,19.42577,-99.13721,Private room,486,1,2,2017-09-16,0.03,1,365
454693,"Condesa, ideal location apartment",1601561,Sylvia Eugenia,,Cuauhtémoc,19.40618,-99.17342,Entire home/apt,1167,1,205,2019-09-12,2.34,1,248
456242,Nice and cozy room with terrace!!!!,1767559,Anna,,La Magdalena Contreras,19.33021,-99.21677,Private room,778,3,2,2015-07-08,0.04,2,211
456409,habitación privada cerca de polanco,2269083,Alondra,,Miguel Hidalgo,19.44338,-99.18841,Private room,194,2,44,2017-03-20,0.50,5,313
456461,Lit room with balcony new Polanco,2269083,Alondra,,Miguel Hidalgo,19.44496,-99.18658,Shared room,331,2,61,2016-01-08,0.69,5,112
457700,Studio Chapultepec Mexico City,2275010,Mariana,,Miguel Hidalgo,19.41471,-99.18563,Private room,972,3,4,2018-12-14,0.21,1,362
458808,Furnished suites exelent location,2281290,Suites,,Cuauhtémoc,19.42741,-99.16022,Entire home/apt,778,7,6,2019-03-18,0.13,25,342
480752,Lots of light & views in Condesa MX,1921943,Jeppe,,Cuauhtémoc,19.41766,-99.1764,Entire home/apt,1711,2,166,2019-09-10,2.03,1,143
486913,Apto en San Rafael céntrico  y tranquilo,2409917,Darío,,Cuauhtémoc,19.438,-99.162,Entire home/apt,642,2,11,2018-06-03,0.12,2,353
489774,Luxury Apt. Plaza Carso Polanco,2415111,Max,,Miguel Hidalgo,19.4435,-99.20307,Entire home/apt,1361,4,41,2019-08-10,0.80,2,354
491412,Luxury Room for rent in Mexico City,2428947,Esther,,Miguel Hidalgo,19.38845,-99.24108,Private room,797,1,0,,,1,180
499553,"Deluxe 4-BR penthouse, views, historic center",1297488,Petra,,Cuauhtémoc,19.4345,-99.13877,Entire home/apt,7390,3,22,2019-01-05,0.25,7,238
499676,"Fabulous 3BR penthouse, Views, Historic Center",1297488,Petra,,Cuauhtémoc,19.43493,-99.13883,Entire home/apt,6806,3,2,2014-12-14,0.02,7,240
517503,Nice big room near airport,2547499,Irma,,Venustiano Carranza,19.43852,-99.08118,Private room,564,1,87,2019-09-09,4.86,2,362
521867,Beautiful  bedroom in Mexico City near Sta Fe,2566613,Flor,,Álvaro Obregón,19.38751,-99.22409,Private room,486,2,0,,,1,87
527473,Roma Condesa Espectacular Home,158585,Fernando,,Cuauhtémoc,19.41848,-99.17195,Entire home/apt,2509,1,136,2019-09-14,1.57,9,295
544105,"New Polanco, great location 4 work",2674950,Elizabeth,,Miguel Hidalgo,19.44236,-99.20128,Private room,583,2,19,2019-09-06,0.71,2,180
550908,Haven in Coyoacan,2707742,Paloma,,Coyoacán,19.34997,-99.17214,Entire home/apt,1147,3,0,,,1,363
552666,LOVELY COMFY BRIGHT FLAT DOWNTOWN!!,2715914,Emiliano,,Cuauhtémoc,19.42791,-99.15133,Entire home/apt,1264,5,65,2019-08-17,0.74,1,336
555663,Stylish Apt. w/Balcony & Strategic Location☞20%OFF,2732644,Paola,,Cuauhtémoc,19.42857,-99.15599,Entire home/apt,1692,1,15,2019-09-13,0.29,2,362
567176,Un descanso en CDMX,2336127,Ana Karen,,Cuauhtémoc,19.4545,-99.15792,Private room,194,7,21,2019-03-31,0.42,1,341
571166,MODERN/HIP FURNISHED APARTMENT ( S1 Condesa Haus),196253,Condesa Haus Bed & Breakfast  CDMX,,Cuauhtémoc,19.41131,-99.1769,Entire home/apt,2509,1,1,2019-02-08,0.13,10,335
579534,"""Frida"" beautiful Private Room ",1326107,Jacqueline,,Cuauhtémoc,19.41484,-99.15613,Private room,408,5,8,2017-03-02,0.11,3,0
583039,"BALCONY INCREDIBLE VIEWS, AC, Tour Guide, Lap Pool",2872228,Bruce,,Cuauhtémoc,19.43269,-99.14547,Entire home/apt,1672,3,42,2019-05-27,0.50,17,227
587677,Great room with nice terrace 15 min to Santa Fe,1969754,Luigui,,Álvaro Obregón,19.34365,-99.22526,Private room,681,1,0,,,1,0
607833,Apartment close to the Basílica.,1849414,Omar,,Gustavo A. Madero,19.48311,-99.11389,Private room,389,3,6,2016-06-01,0.08,1,0
608312,Trendy Condesa nice room for rent..,1969996,Gloria,,Cuauhtémoc,19.40716,-99.17694,Private room,1128,2,28,2018-06-22,0.35,5,235
609594,Room in Xochimilco,2223274,Luis,,Xochimilco,19.26501,-99.1134,Entire home/apt,486,4,11,2018-01-25,0.20,1,358
610914,"Stylish 2BR penthouse, views, in Historic Center",1297488,Petra,,Cuauhtémoc,19.43449,-99.13916,Entire home/apt,4862,2,1,2015-10-12,0.02,7,240
611179,"Spectacular 1BR Penthouse, Views, Historic Center",1297488,Petra,,Cuauhtémoc,19.43627,-99.13763,Entire home/apt,4278,3,1,2016-10-17,0.03,7,240
611337,"Magnificent 2-BR apartment, views",1297488,Petra,,Cuauhtémoc,19.43611,-99.1386,Entire home/apt,5834,3,4,2016-12-24,0.08,7,240
613181,90m2 / Mexico City's Hist. downtown,3040937,Jano,,Cuauhtémoc,19.43888,-99.13617,Entire home/apt,1925,3,165,2019-09-17,1.90,1,304
617137,Apt near Mexico City's downtown,3059169,Andoni,,Cuauhtémoc,19.44722,-99.16065,Shared room,1945,1,0,,,1,365
618711,Mini hostel double bed girls,2269083,Alondra,,Miguel Hidalgo,19.44566,-99.18688,Shared room,194,2,60,2019-04-09,0.70,5,128
628081,"Sunny comfy flat,great location!",2991302,Laura,,Cuauhtémoc,19.41789,-99.17209,Entire home/apt,1672,3,213,2019-09-09,2.58,1,156
635324,Lovely studio in colonial San Angel,264422,Regina & Romain,,Álvaro Obregón,19.35323,-99.19343,Entire home/apt,778,1,135,2019-09-18,1.63,2,334
640803,"Juan O'Gorman House - Studio, ",3200155,Paulina,,Álvaro Obregón,19.35002,-99.19902,Entire home/apt,6378,4,22,2017-05-19,0.26,2,362
642797,"Big Penthouse, Unmatched View. Great Location.",3151538,Leon,,Miguel Hidalgo,19.4143,-99.18042,Entire home/apt,7759,2,81,2019-09-02,0.99,2,141
650092,Barrio Mexa,3264739,Bania  Alejandra,,Cuauhtémoc,19.43917,-99.15854,Private room,447,28,10,2014-07-14,0.12,2,358
654040,Private room in nice apartment,3289927,Yaotl,,Miguel Hidalgo,19.44187,-99.18437,Private room,564,3,1,2016-08-03,0.03,2,266
654106,1 private room in a nice apartment,3289927,Yaotl,,Miguel Hidalgo,19.44185,-99.18494,Private room,564,5,1,2013-12-21,0.01,2,266
655422,"Comfortable and luminous house, 3 levels, 1-10 prs",3299226,Carlos,,Venustiano Carranza,19.41451,-99.11776,Entire home/apt,1303,2,51,2019-09-18,0.59,1,341
674320,"Condesa Gem: Space, Beauty, Location & Safety",1461534,Adolfo,,Cuauhtémoc,19.40897,-99.17146,Entire home/apt,2314,1,184,2019-09-08,2.16,2,0
691019,Modern Complex in Historic District⭐️,3531879,Gonzalo & Sandra,,Cuauhtémoc,19.4314,-99.14397,Entire home/apt,1653,2,221,2019-09-16,2.60,3,342
696031,Simple y Práctico a 2 cuadras de Polanco,3531879,Gonzalo & Sandra,,Miguel Hidalgo,19.44298,-99.18343,Entire home/apt,914,15,143,2019-09-08,1.75,3,280
696037,"3 Bedrooms, 2 blocks from Polanco - ALL RENOVATED!",3531879,Gonzalo & Sandra,,Miguel Hidalgo,19.44284,-99.18504,Entire home/apt,1517,24,35,2019-02-09,0.42,3,266
697933,The Fantastic Suite of Villa Mural; adults only,519159,Jorge & Monnah,,Miguel Hidalgo,19.40186,-99.18319,Entire home/apt,953,2,34,2018-08-12,0.42,13,25
704761,The Amazing Suite of Villa Mural; adults only,519159,Jorge & Monnah,,Miguel Hidalgo,19.4019,-99.18309,Entire home/apt,953,2,29,2018-08-12,0.34,13,25
704779,"SECURE BEST LOCATION City Center, Tours. Lap Pool",2872228,Bruce,,Cuauhtémoc,19.43056,-99.14725,Entire home/apt,1186,3,12,2019-09-14,0.16,17,229
712611,New Home sweet Home Roma/Condesa,3648353,Eduardo,,Cuauhtémoc,19.41031,-99.16434,Entire home/apt,1264,2,147,2019-08-01,1.80,2,307
714392,Suite en Polanco con encanto :D,3477536,Claudia,,Miguel Hidalgo,19.43648,-99.18578,Entire home/apt,642,3,69,2019-08-17,0.83,1,262
717874,bachelor for rent,3701050,Jorge Mario,,Cuauhtémoc,19.4117,-99.17821,Private room,1361,1,0,,,1,365
728372,Casa Indigo in the Center DF groups until 29 Pers,3777702,Abraham,,Cuauhtémoc,19.44371,-99.14442,Entire home/apt,3286,1,99,2019-01-16,1.18,6,339
729898,HEART OF CONDESA  ART DECO BUILDING,1288063,Rodolfo & Francisco,,Cuauhtémoc,19.41374,-99.16664,Entire home/apt,1750,1,250,2019-08-31,3.04,16,291
736107,Best Location at La Roma-Condesa,3800330,Yas,,Cuauhtémoc,19.42397,-99.15571,Entire home/apt,1128,3,253,2019-09-11,3.66,1,235
737328,Business Suite BEIGE near Reforma,3850198,Hermann,,Cuauhtémoc,19.42992,-99.16958,Entire home/apt,1070,3,17,2019-08-05,0.21,6,266
741557,Business Suite ORANGE near Reforma,3850198,Hermann,,Cuauhtémoc,19.43034,-99.16985,Entire home/apt,1070,5,6,2017-12-21,0.07,6,358
741564,A great place to be. ONE,3881522,Misantla,,Cuauhtémoc,19.40574,-99.15776,Private room,350,4,82,2018-03-18,1.01,3,274
741663,Beautiful full furnished apartmente,3882003,Vera,,Cuajimalpa de Morelos,19.36561,-99.27728,Entire home/apt,1167,360,0,,,1,365
757338,"5 rooms common areas, private residence",3991683,Leonora,,Coyoacán,19.34424,-99.16949,Hotel room,3481,3,27,2019-07-11,0.33,6,335
758602,In the best location in Mexico,3996052,Ivonne,,Benito Juárez,19.37498,-99.18241,Private room,700,1,0,,,1,362
760912,"Stylish bachelor pad in La Roma, DF",3817743,Max,,Cuauhtémoc,19.40975,-99.1621,Private room,778,1,5,2016-01-30,0.06,1,363
773150,LOVELY LITTLE HOUSE COYOACAN,4079778,Rosa Maria,,Coyoacán,19.34604,-99.15938,Entire home/apt,875,3,12,2018-11-19,0.16,4,266
783080,Nice quiet room in a lovely house!!,1767559,Anna,,La Magdalena Contreras,19.33166,-99.21412,Private room,583,1,1,2015-06-26,0.02,2,266
783480,"Area Sta.Fe,IberoABC Hospital Rooms",4129056,Janet,,Cuajimalpa de Morelos,19.35213,-99.28565,Private room,350,2,26,2018-12-16,0.39,2,362
783609,Apartment 3 blocks from Bellas Arte,4131894,Francisco Fidel,,Cuauhtémoc,19.43345,-99.13883,Entire home/apt,1828,3,59,2019-08-26,2.63,1,335
783919,La Mexicana- LGBTTTIQA & Women Only,4133627,Ever,,Cuajimalpa de Morelos,19.3602,-99.27062,Private room,836,2,29,2018-08-03,0.35,5,365
796477,Classic but Modern Apartment,4195771,Jair,,Cuauhtémoc,19.41633,-99.17505,Private room,447,2,132,2019-09-15,2.28,1,312
822005,AMAZING LOFT in the heart of CDMX,4316391,Alejandro,,Miguel Hidalgo,19.40321,-99.17758,Entire home/apt,1108,4,45,2019-03-31,0.61,1,332
824016,Suite 5 - Suites Condesa Mexico,4326326,Rodrigo,,Cuauhtémoc,19.40846,-99.17346,Hotel room,895,4,45,2019-05-06,0.60,6,320
826691,Suite 7 - Suites Condesa Mexico,4326326,Rodrigo,,Cuauhtémoc,19.41016,-99.1739,Entire home/apt,817,3,18,2019-05-11,0.25,6,297
826760,Suite 12 - Suites Condesa Mexico,4326326,Rodrigo,,Cuauhtémoc,19.40997,-99.17277,Hotel room,992,10,14,2019-04-20,0.18,6,281
828714,Apartment with Internet & 2 cable TV's,4344353,Miriam,,Coyoacán,19.34277,-99.15553,Entire home/apt,1458,1,25,2018-05-21,0.69,1,251
832805,Casa Indigo in the Center Mex City 10-29 Persons,3777702,Abraham,,Cuauhtémoc,19.44286,-99.14719,Entire home/apt,3286,1,120,2019-09-17,1.46,6,333
840176,department only men share,2828190,Alejandro,,Miguel Hidalgo,19.41007,-99.19358,Private room,292,1,0,,,3,365
844818,Well located on calm neighborhood,4410326,Fernando,,Benito Juárez,19.38265,-99.18203,Private room,428,1,6,2013-11-19,0.07,1,365
858277,"Beautiful, Big apartment, Condesa,",3200155,Paulina,,Cuauhtémoc,19.41496,-99.17367,Entire home/apt,3461,3,127,2019-09-06,1.55,2,338
859081,Centric Mexico City,3241560,Dora,,Benito Juárez,19.39168,-99.1629,Entire home/apt,778,1,1,2013-04-03,0.01,1,365
864999,"airy, lovely room in private residence, Girasol",3991683,Leonora,,Coyoacán,19.34392,-99.16939,Private room,447,3,17,2019-09-01,0.22,6,0
865012,Business Suite RED near Reforma Av.,3850198,Hermann,,Cuauhtémoc,19.42994,-99.16954,Entire home/apt,1070,4,26,2019-03-20,0.33,6,322
865017,"Lovely comfortable room facing garden, Coyoacán",3991683,Leonora,,Coyoacán,19.34434,-99.17107,Private room,506,3,5,2019-08-30,0.06,6,326
865034,"Delightful comfortable garden room, Dalia",3991683,Leonora,,Coyoacán,19.34417,-99.16981,Private room,486,3,3,2014-03-04,0.04,6,326
865045,"Delightful room facing garden oasis, Jacaranda",3991683,Leonora,,Coyoacán,19.34538,-99.17121,Hotel room,486,3,11,2019-08-31,0.13,6,335
865070,"Lovely comfortable room facing garden, Alcatraz",3991683,Leonora,,Coyoacán,19.34562,-99.17087,Hotel room,447,3,2,2019-07-25,0.03,6,330
868843,Business Suite PURPLE near Reforma,3850198,Hermann,,Cuauhtémoc,19.43099,-99.17047,Entire home/apt,972,4,25,2019-07-27,0.40,6,306
868986,Business Suite BLUE near Reforma Av,3850198,Hermann,,Cuauhtémoc,19.43038,-99.16972,Entire home/apt,972,4,10,2018-12-10,0.12,6,344
869063,Business Suite BLACK near Reforma,3850198,Hermann,,Cuauhtémoc,19.42984,-99.16936,Entire home/apt,972,3,11,2019-08-18,0.24,6,347
872238,The Best and most Beautiful  :),2039132,Justino,,Cuauhtémoc,19.41802,-99.16141,Entire home/apt,1653,2,33,2019-09-06,0.41,1,212
877361,Nice and cozy room in Zona Rosa,4438410,Hojas,,Cuauhtémoc,19.42833,-99.16248,Private room,583,1,130,2018-10-27,1.61,2,364
883511,CASA INDIGO 3 IN THE CENTER OF MEX. CITY,3777702,Abraham,,Cuauhtémoc,19.44199,-99.14654,Private room,369,1,166,2019-06-15,2.05,6,333
896522,"592 ft at Downtown, Mexico City",4647293,Martina,,Cuauhtémoc,19.43644,-99.13434,Entire home/apt,1070,21,168,2019-08-31,2.11,4,270
898633,50Mb BEST location ROOFTOP BALCONY PRIVATE ROOM,4796027,Marco,,Cuauhtémoc,19.42105,-99.16518,Private room,739,2,45,2015-12-03,0.57,3,323
911088,Se renta habitación en el centro,2875548,Martha,,Cuauhtémoc,19.4245,-99.13802,Private room,1283,1,0,,,1,365
913084,15 blocks from Paseo de la Reforma,4647293,Martina,,Miguel Hidalgo,19.43982,-99.17104,Entire home/apt,350,1,107,2018-11-17,1.38,4,323
931771,"Room in Mexico City, Coyoacan.",5019262,Bruni,,Coyoacán,19.32667,-99.14259,Private room,272,1,2,2019-07-03,0.71,1,365
935443,Rent my room! ,3535869,Luis,,Benito Juárez,19.40019,-99.14515,Private room,214,3,0,,,1,365
939721,Radiant Apartment with Terrace in Roma Norte (1/4),4821807,Alex,,Cuauhtémoc,19.42121,-99.15498,Entire home/apt,1653,3,372,2019-09-17,4.73,5,249
940123,Centro Historico - The Full Studio,3285196,Juan Carlos,,Cuauhtémoc,19.43245,-99.13868,Entire home/apt,1264,2,275,2019-09-09,3.48,7,293
958470,Studio with Bath in Etiopia,5215017,Javier,,Benito Juárez,19.39332,-99.16233,Shared room,24716,1,0,,,1,365
975956,Turtle's Room in the South of DF,1007762,Jose,,Coyoacán,19.30843,-99.16942,Private room,1945,1,0,,,1,365
980600,HABITACION CON BAÑO IND AEROPUERTO ,4157866,Fabeli,,Venustiano Carranza,19.41583,-99.08718,Private room,389,1,43,2019-05-19,0.63,2,81
997247,NEW! HISTORIC BUILDING -BEST STREET,5479592,Lorenzo,,Cuauhtémoc,19.41612,-99.16015,Entire home/apt,1750,2,308,2019-09-06,3.98,1,291
1001517,Colonial House Downtown Coyoacan,5507751,Arlette And Fernando,,Coyoacán,19.34592,-99.1597,Entire home/apt,2275,2,66,2019-09-09,0.87,2,337
1007174,Private en suite in City house ,5540061,Julian,,Cuauhtémoc,19.43918,-99.15518,Private room,778,2,9,2017-10-01,0.12,1,365
1011428,PLAZA DEL ARCÁNGEL EN SAN ÁNGEL,5307709,Rosa María,,Álvaro Obregón,19.34377,-99.19288,Entire home/apt,6028,7,13,2019-08-16,0.17,1,281
1013504,"OASIS IN COYOACAN, SHARED HOUSE",1664327,Edoardo,,Coyoacán,19.33983,-99.18266,Private room,311,2,39,2019-08-28,0.55,2,358
1019309,2 BEDROOM APARTMENT IN POLANCO/INDOOR POOL/ WiFi,3151394,Monica,,Miguel Hidalgo,19.4437,-99.20217,Entire home/apt,992,3,59,2019-09-15,0.97,1,343
1022380,Feel the Magic of Mexico City from this Duplex Loft,3285196,Juan Carlos,,Cuauhtémoc,19.43234,-99.13881,Entire home/apt,1809,3,266,2019-09-08,3.39,7,299
1051636,Chilango chic: room in cozy apartment Condesa DF,1809694,Deborah,,Cuauhtémoc,19.40738,-99.16861,Private room,758,2,23,2018-11-20,0.30,1,364
1056473,Beautiful Apartment CONDESA - ROMA NORTE,403236,Delia,,Cuauhtémoc,19.41693,-99.17625,Entire home/apt,2528,3,144,2019-09-13,3.95,3,78
1066945,"Villa Alfonsina, Heart of Coyoacan",5870021,Minerva,,Coyoacán,19.35371,-99.16292,Private room,720,2,143,2018-09-22,2.00,5,356
1074844,APARTMENT IN THE MIDDLE OF REFORMA & ZONA ROSA!!!,1288063,Rodolfo & Francisco,,Cuauhtémoc,19.43094,-99.16601,Entire home/apt,1847,1,194,2019-09-04,2.48,16,359
